CD,2020 PRES,2020 US REP,2018 SEN,2016 PRES,2016 US REP,2020 PRES-REP,2016 PRES-REP
23,-1.78%,-4.08%,5.00%,3.54%,-1.40%,1.15%,2.47%
21,-2.59%,-6.78%,-0.15%,-10.50%,-22.00%,2.10%,5.75%
24,5.55%,-1.38%,3.50%,-6.56%,-17.65%,3.46%,5.54%
22,-0.94%,-7.20%,-0.65%,-8.19%,-19.04%,3.13%,5.42%
10,-1.64%,-7.29%,0.18%,-9.61%,-19.72%,2.83%,5.05%
6,-3.07%,-9.11%,-3.18%,-12.74%,-19.83%,3.02%,3.55%
2,-1.32%,-13.03%,-1.18%,-9.76%,-25.46%,5.86%,7.85%
31,-2.90%,-9.36%,-2.19%,-13.52%,-23.05%,3.23%,4.76%
25,-9.77%,-14.10%,-5.17%,-15.59%,-21.44%,2.17%,2.92%
3,-1.21%,-12.45%,-3.36%,-14.86%,-27.80%,5.66%,6.47%
32,10.57%,6.15%,10.68%,1.96%,NA,2.22%,NA
7,8.54%,3.39%,7.38%,1.43%,-12.35%,2.59%,6.89%